chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr15	22930239	22931105	genic|chr15:22930239-22931105	TUBGCP5	22833394		0.032829
chr15	22930239	22931105	genic|chr15:22930239-22931105	NIPA2	23034427		0.028767
chr15	22930239	22931105	genic|chr15:22930239-22931105	LOC283683	23115254		0.020257
chr15	22930239	22931105	genic|chr15:22930239-22931105	HERC2P2	23378259		0.028184
chr15	22967810	22968581	genic|chr15:22967810-22968581	NIPA2	23034427		0.021618
chr15	22995502	22996002	genic|chr15:22995502-22996002	NIPA2	23034427		0.024735
chr15	22996267	22997005	genic|chr15:22996267-22997005	NIPA2	23034427		0.082509
chr15	23027329	23027939	genic|chr15:23027329-23027939	NIPA2	23034427		0.066870
chr15	23814222	23815197	intergenic|chr15:23814222-23815197	MKRN3	23810453		0.119500
chr15	23815551	23816051	intergenic|chr15:23815551-23816051	MKRN3	23810453		0.054770
chr15	23887513	23888013	intergenic|chr15:23887513-23888013	MAGEL2	23892993		0.062000
chr15	23916311	23917109	intergenic|chr15:23916311-23917109	MAGEL2	23892993		0.028591
chr15	24009236	24010244	intergenic|chr15:24009236-24010244	LOC283683	23115254		0.025169
chr15	24009236	24010244	intergenic|chr15:24009236-24010244	MAGEL2	23892993		0.057202
chr15	24009236	24010244	intergenic|chr15:24009236-24010244	SNRPN	25068783		0.022306
chr15	25017351	25018652	intergenic|chr15:25017351-25018652	SNRPN	25068783		0.037329
chr15	25017351	25018652	intergenic|chr15:25017351-25018652	SNURF	25200039		0.024360
chr15	25185187	25186271	genic|chr15:25185187-25186271	SNURF	25200039		0.032766
chr15	25185187	25186271	genic|chr15:25185187-25186271	PWARSN	25227140		0.039894
chr15	25190807	25191540	genic|chr15:25190807-25191540	SNURF	25200039		0.028015
chr15	25200992	25202122	genic|chr15:25200992-25202122	TUBGCP5	22833394		0.022147
chr15	25200992	25202122	genic|chr15:25200992-25202122	SNURF	25200039		0.216608
chr15	25200992	25202122	genic|chr15:25200992-25202122	PWARSN	25227140		0.075721
chr15	25813289	25814514	intergenic|chr15:25813289-25814514	UBE3A	25684175		0.022707
chr15	25910714	25911802	intergenic|chr15:25910714-25911802	SNORD115-21	25451408		0.021658
chr15	25910714	25911802	intergenic|chr15:25910714-25911802	SNORD115-15	25451408		0.021658
chr15	25914362	25915552	intergenic|chr15:25914362-25915552	SNORD115-21	25451408		0.023482
chr15	25914362	25915552	intergenic|chr15:25914362-25915552	SNORD115-15	25451408		0.023482
chr15	25914362	25915552	intergenic|chr15:25914362-25915552	UBE3A	25684175		0.020832
chr15	25962311	25963782	genic|chr15:25962311-25963782	MKRN3	23810453		0.028346
chr15	25962311	25963782	genic|chr15:25962311-25963782	SNRPN	25068783		0.049199
chr15	25962311	25963782	genic|chr15:25962311-25963782	PWARSN	25227140		0.024435
chr15	25962311	25963782	genic|chr15:25962311-25963782	SNORD115-21	25451408		0.026421
chr15	25962311	25963782	genic|chr15:25962311-25963782	SNORD115-15	25451408		0.026421
chr15	25962311	25963782	genic|chr15:25962311-25963782	PWAR4	25456838		0.043819
chr15	25962311	25963782	genic|chr15:25962311-25963782	UBE3A	25684175		0.041474
chr15	25962311	25963782	genic|chr15:25962311-25963782	GABRA5	27111865		0.028184
chr15	26314016	26315830	intergenic|chr15:26314016-26315830	PWARSN	25227140		0.024708
chr15	26314016	26315830	intergenic|chr15:26314016-26315830	PWAR4	25456838		0.026126
chr15	26314016	26315830	intergenic|chr15:26314016-26315830	GABRA5	27111865		0.031996
chr15	26327048	26328485	intergenic|chr15:26327048-26328485	UBE3A	25684175		0.020673
chr15	26327048	26328485	intergenic|chr15:26327048-26328485	GABRA5	27111865		0.023118
chr15	27094959	27095882	intergenic|chr15:27094959-27095882	GABRA5	27111865		0.033294
chr15	27109607	27110596	intergenic|chr15:27109607-27110596	GABRA5	27111865		0.060285
chr15	27195017	27195959	intergenic|chr15:27195017-27195959	GABRG3	27216428		0.026149
chr15	27212693	27213601	intergenic|chr15:27212693-27213601	GABRG3	27216428		0.025002
chr15	27219207	27219707	genic|chr15:27219207-27219707	GABRG3	27216428		0.021444
chr15	27671836	27673666	genic|chr15:27671836-27673666	GABRG3	27216428		0.025607
chr15	28288745	28289924	genic|chr15:28288745-28289924	OCA2	28344458		0.024690
chr15	28320389	28321776	genic|chr15:28320389-28321776	OCA2	28344458		0.035877
chr15	28340694	28341800	genic|chr15:28340694-28341800	OCA2	28344458		0.066747
chr15	28355501	28356280	genic|chr15:28355501-28356280	OCA2	28344458		0.045120
chr15	28358677	28359177	genic|chr15:28358677-28359177	OCA2	28344458		0.054121
chr15	29076934	29077902	genic|chr15:29076934-29077902	PDCD6IPP2	29034979		0.033014
chr15	29156174	29157302	intergenic|chr15:29156174-29157302	APBA2	29213839		0.081033
chr15	29221278	29222005	genic|chr15:29221278-29222005	APBA2	29213839		0.030328
chr15	29567106	29568332	genic|chr15:29567106-29568332	NSMCE3	29562020		0.138247
chr15	29916131	29916937	intergenic|chr15:29916131-29916937	NSMCE3	29562020		0.025734
chr15	29916131	29916937	intergenic|chr15:29916131-29916937	LOC100130111	29967138		0.032003
chr15	29916131	29916937	intergenic|chr15:29916131-29916937	LINC02249	30488238		0.025331
chr15	29957349	29958105	intergenic|chr15:29957349-29958105	LOC100130111	29967138		0.041772
chr15	29961983	29962483	intergenic|chr15:29961983-29962483	LOC100130111	29967138		0.078792
chr15	29968861	29969658	genic|chr15:29968861-29969658	LOC100130111	29967138		0.026307
chr15	30097231	30097731	genic|chr15:30097231-30097731	TJP1	30114706		0.033103
chr15	30113463	30113963	genic|chr15:30113463-30113963	TJP1	30114706		0.036738
chr15	30902545	30903045	genic|chr15:30902545-30903045	ARHGAP11B	30918878		0.042536
chr15	31214951	31215751	intergenic|chr15:31214951-31215751	FAN1	31196075		0.026893
chr15	31254172	31255027	genic|chr15:31254172-31255027	LINC02249	30488238		0.029814
chr15	31254172	31255027	genic|chr15:31254172-31255027	FAN1	31196075		0.035652
chr15	31254172	31255027	genic|chr15:31254172-31255027	TRPM1	31393929		0.033443
chr15	31254172	31255027	genic|chr15:31254172-31255027	OTUD7A	32162875		0.021740
chr15	31370634	31371134	genic|chr15:31370634-31371134	TRPM1	31393929		0.027170
chr15	31371327	31372380	genic|chr15:31371327-31372380	TRPM1	31393929		0.044084
chr15	31397264	31397941	intergenic|chr15:31397264-31397941	TRPM1	31393929		0.061287
chr15	31440311	31441303	intergenic|chr15:31440311-31441303	TRPM1	31393929		0.035352
chr15	31440311	31441303	intergenic|chr15:31440311-31441303	LOC102725022	31508223		0.020693
chr15	31511392	31511892	genic|chr15:31511392-31511892	LOC102725022	31508223		0.023786
chr15	31527868	31529147	intergenic|chr15:31527868-31529147	LOC102725022	31508223		0.054184
chr15	31527868	31529147	intergenic|chr15:31527868-31529147	KLF13	31619057		0.029059
chr15	31571413	31572530	intergenic|chr15:31571413-31572530	FAN1	31196075		0.030085
chr15	31571413	31572530	intergenic|chr15:31571413-31572530	TRPM1	31393929		0.060601
chr15	31571413	31572530	intergenic|chr15:31571413-31572530	LOC102725022	31508223		0.033623
chr15	31571413	31572530	intergenic|chr15:31571413-31572530	KLF13	31619057		0.038217
chr15	31571413	31572530	intergenic|chr15:31571413-31572530	OTUD7A	32162875		0.025430
chr15	31597019	31597686	intergenic|chr15:31597019-31597686	LOC102725022	31508223		0.030013
chr15	31597019	31597686	intergenic|chr15:31597019-31597686	KLF13	31619057		0.041630
chr15	31598659	31599245	intergenic|chr15:31598659-31599245	KLF13	31619057		0.027187
chr15	31619927	31620705	genic|chr15:31619927-31620705	KLF13	31619057		0.040675
chr15	32161743	32162313	genic|chr15:32161743-32162313	OTUD7A	32162875		0.024122
chr15	32938332	32938832	genic|chr15:32938332-32938832	SCG5	32933813		0.057546
chr15	32968277	32968886	genic|chr15:32968277-32968886	LOC105370757	32965266		0.042223
chr15	32977198	32977792	genic|chr15:32977198-32977792	LOC105370757	32965266		0.023565
chr15	33025376	33025993	genic|chr15:33025376-33025993	GREM1	33010204		0.024172
chr15	33025376	33025993	genic|chr15:33025376-33025993	LOC100131315	33011066		0.024172
chr15	33028050	33028987	intergenic|chr15:33028050-33028987	LOC105370757	32965266		0.033138
chr15	33028050	33028987	intergenic|chr15:33028050-33028987	GREM1	33010204		0.063145
chr15	33028050	33028987	intergenic|chr15:33028050-33028987	LOC100131315	33011066		0.063144
chr15	33235909	33237088	genic|chr15:33235909-33237088	LOC105370757	32965266		0.022151
chr15	33235909	33237088	genic|chr15:33235909-33237088	GREM1	33010204		0.027057
chr15	33235909	33237088	genic|chr15:33235909-33237088	LOC100131315	33011066		0.027057
chr15	33493529	33494105	intergenic|chr15:33493529-33494105	FMN1	33486934		0.020088
chr15	33606126	33606873	genic|chr15:33606126-33606873	LOC101928134	33602446		0.041204
chr15	33606126	33606873	genic|chr15:33606126-33606873	RYR3	33603162		0.041203
chr15	34034221	34035491	genic|chr15:34034221-34035491	LOC101928134	33602446		0.023125
chr15	34034221	34035491	genic|chr15:34034221-34035491	RYR3	33603162		0.023124
chr15	34105614	34106833	genic|chr15:34105614-34106833	CHRM5	34261088		0.024759
chr15	34248060	34249305	genic|chr15:34248060-34249305	CHRM5	34261088		0.031828
chr15	34252143	34252812	genic|chr15:34252143-34252812	CHRM5	34261088		0.023970
chr15	34629346	34630527	intergenic|chr15:34629346-34630527	KATNBL1	34502297		0.033377
chr15	34629346	34630527	intergenic|chr15:34629346-34630527	NOP10	34635362		0.059247
chr15	34629346	34630527	intergenic|chr15:34629346-34630527	NUTM1	34635515		0.059247
chr15	34629346	34630527	intergenic|chr15:34629346-34630527	LPCAT4	34659395		0.043163
chr15	34726132	34727126	intergenic|chr15:34726132-34727126	LPCAT4	34659395		0.020034
chr15	35041801	35042497	intergenic|chr15:35041801-35042497	GJD2	35046782		0.091415
chr15	35041801	35042497	intergenic|chr15:35041801-35042497	LOC101928174	35047284		0.091412
chr15	35091162	35092507	genic|chr15:35091162-35092507	GJD2	35046782		0.024896
chr15	35091162	35092507	genic|chr15:35091162-35092507	LOC101928174	35047284		0.024895
chr15	35091162	35092507	genic|chr15:35091162-35092507	ACTC1	35087927		0.106257
chr15	35147559	35148485	intergenic|chr15:35147559-35148485	ACTC1	35087927		0.022916
chr15	35269359	35270203	intergenic|chr15:35269359-35270203	AQR	35261995		0.030291
chr15	35811533	35812616	genic|chr15:35811533-35812616	DPH6-AS1	35838395		0.020582
chr15	35811533	35812616	genic|chr15:35811533-35812616	DPH6	35838404		0.020582
chr15	35847408	35848366	genic|chr15:35847408-35848366	DPH6-AS1	35838395		0.020616
chr15	35847408	35848366	genic|chr15:35847408-35848366	DPH6	35838404		0.020616
chr15	35858801	35859981	genic|chr15:35858801-35859981	ZNF770	35280497		0.025575
chr15	35858801	35859981	genic|chr15:35858801-35859981	DPH6-AS1	35838395		0.049752
