chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr2	11148	12031	intergenic|chr2:11148-12031	FAM110C	46588	NEU	0.016814
chr2	467814	469182	intergenic|chr2:467814-469182	SH3YL1	264097	NEU	0.022904
chr2	467814	469182	intergenic|chr2:467814-469182	ACP1	264868	NEU	0.022901
chr2	660346	661018	intergenic|chr2:660346-661018	TMEM18	677439	NEU	0.028265
chr2	662456	662956	intergenic|chr2:662456-662956	TMEM18	677439	NEU	0.019699
chr2	955694	956339	genic|chr2:955694-956339	SNTG2	946553	NEU	0.047152
chr2	1732266	1733135	genic|chr2:1732266-1733135	PXDN	1748319	NEU	0.039139
chr2	1734199	1735185	genic|chr2:1734199-1735185	PXDN	1748319	NEU	0.046143
chr2	1735252	1735752	genic|chr2:1735252-1735752	PXDN	1748319	NEU	0.018199
chr2	1735943	1736443	genic|chr2:1735943-1736443	PXDN	1748319	NEU	0.014388
chr2	1754345	1755137	intergenic|chr2:1754345-1755137	PXDN	1748319	NEU	0.021571
chr2	1826655	1827716	genic|chr2:1826655-1827716	MYT1L	2335085	NEU	0.012032
chr2	2328191	2328691	genic|chr2:2328191-2328691	MYT1L	2335085	NEU	0.120133
chr2	2852059	2853669	intergenic|chr2:2852059-2853669	LINC01250	3129798	NEU	0.015679
chr2	3128760	3129260	genic|chr2:3128760-3129260	LINC01250	3129798	NEU	0.014151
chr2	3135010	3135846	intergenic|chr2:3135010-3135846	LINC01250	3129798	NEU	0.034855
chr2	3184085	3185137	intergenic|chr2:3184085-3185137	RPS7	3622852	NEU	0.012106
chr2	3184085	3185137	intergenic|chr2:3184085-3185137	COLEC11	3642421	NEU	0.014739
chr2	3268852	3270805	genic|chr2:3268852-3270805	SH3YL1	264097	NEU	0.018705
chr2	3268852	3270805	genic|chr2:3268852-3270805	ACP1	264868	NEU	0.018704
chr2	3268852	3270805	genic|chr2:3268852-3270805	MYT1L	2335085	NEU	0.018989
chr2	3268852	3270805	genic|chr2:3268852-3270805	LINC01250	3129798	NEU	0.041124
chr2	3268852	3270805	genic|chr2:3268852-3270805	TSSC1	3381703	NEU	0.028209
