chr1	x1	x2	chr2	y1	y2	name	score	strand1	strand2	color	score	uVarScore	lVarScore	upSign	loSign
1	186970000	192430000	1	186970000	192430000	.	.	.	.	255,255,0	0.5397384198814872	0.3746954394190584	0.40507179441679075	0.5125665089168738	0.4474211919467394
1	101890000	103780000	1	101890000	103780000	.	.	.	.	255,255,0	0.7484953160475856	0.3489515492342708	0.3686381988760855	0.48897506925207757	0.55601108033241
1	193090000	196030000	1	193090000	196030000	.	.	.	.	255,255,0	0.8414156975578357	0.294476929995506	0.3677512537982378	0.6997609854752712	0.5177422320279463
1	118540000	120070000	1	118540000	120070000	.	.	.	.	255,255,0	0.7580349405512569	0.3047498325287563	0.3310429787714728	0.6625063248439872	0.5707539214032721
1	190480000	192410000	1	190480000	192410000	.	.	.	.	255,255,0	0.766499995372162	0.329474357741939	0.28386953653809516	0.40301838665107875	0.7092145817833989
1	3990000	6040000	1	3990000	6040000	.	.	.	.	255,255,0	1.0600430925076267	0.3519512510464145	0.25776737979281633	0.5968517296634933	0.7578471109435385
1	221010000	222630000	1	221010000	222630000	.	.	.	.	255,255,0	0.9798515030264385	0.2895652183043683	0.28933380812025966	0.6638060825052695	0.6695272508280639
1	29550000	31170000	1	29550000	31170000	.	.	.	.	255,255,0	1.0344085111447017	0.27101473742564214	0.2992052383146515	0.6592893706714845	0.7277928334838903
1	158160000	158980000	1	158160000	158980000	.	.	.	.	255,255,0	0.3967632777566348	0.2830038961902622	0.2663894490818171	0.4326364692218351	0.48664343786295006
1	215810000	218390000	1	215810000	218390000	.	.	.	.	255,255,0	1.1316060190558157	0.27587676526644406	0.2638616871639121	0.6858676207513417	0.7127608825283244
1	159100000	159800000	1	159100000	159800000	.	.	.	.	255,255,0	0.3312272103931323	0.26433536894435256	0.26526200861044963	0.4023809523809524	0.4095238095238095
1	165890000	166780000	1	165890000	166780000	.	.	.	.	255,255,0	0.538077105834127	0.24846548766525597	0.27598308749061873	0.43407407407407406	0.5871604938271605
1	2690000	3340000	1	2690000	3340000	.	.	.	.	255,255,0	1.0183621374285066	0.28956692052270827	0.1895467551637151	0.5730027548209367	0.7621671258034894
1	216910000	218100000	1	216910000	218100000	.	.	.	.	255,255,0	0.4351750942896697	0.18150353202866995	0.28129756374363335	0.40055555555555555	0.4097222222222222
1	169870000	170890000	1	169870000	170890000	.	.	.	.	255,255,0	1.066583783458817	0.19235793425632464	0.23886968057707025	0.7692307692307693	0.5678733031674208
1	68880000	70190000	1	68880000	70190000	.	.	.	.	255,255,0	0.724071830328638	0.2010455669906828	0.2297392040648655	0.6278696051423324	0.40128558310376494
1	106540000	107680000	1	106540000	107680000	.	.	.	.	255,255,0	0.7056893498619199	0.2323495518621931	0.1960729155262006	0.49485783424077434	0.48578342407743497
1	115490000	116160000	1	115490000	116160000	.	.	.	.	255,255,0	0.5586516368347141	0.21422193445217746	0.17419279000782922	0.4342560553633218	0.44809688581314877
1	34090000	35200000	1	34090000	35200000	.	.	.	.	255,255,0	1.3566274949946322	0.19052422758764065	0.18490459684033955	0.7713647959183674	0.8102678571428571
1	90530000	91610000	1	90530000	91610000	.	.	.	.	255,255,0	0.8921152854029413	0.17757837561136514	0.1852134611264753	0.4962962962962963	0.5835016835016835
1	215840000	216890000	1	215840000	216890000	.	.	.	.	255,255,0	0.8617389323297366	0.1992265586504009	0.16219776089438426	0.7337130651477394	0.40192239231043075
1	247010000	247660000	1	247010000	247660000	.	.	.	.	255,255,0	0.8133246678193319	0.1674443178301063	0.189932953389055	0.657483930211203	0.5087235996326905
1	68930000	70030000	1	68930000	70030000	.	.	.	.	255,255,0	0.7916933169908358	0.17905097543484816	0.1702174927851889	0.6441558441558441	0.44675324675324674
1	236750000	237760000	1	236750000	237760000	.	.	.	.	255,255,0	1.1546633601081056	0.18574376315877766	0.16266285329177477	0.6155324875048058	0.8069973087274125
1	17980000	18890000	1	17980000	18890000	.	.	.	.	255,255,0	1.0327877537258716	0.16052538452816242	0.1873044927161305	0.6833648393194707	0.6772211720226843
1	172710000	173320000	1	172710000	173320000	.	.	.	.	255,255,0	0.8023333123049416	0.1768000196971545	0.1692346065130953	0.7169614984391259	0.40894901144641
1	218480000	219990000	1	218480000	219990000	.	.	.	.	255,255,0	1.6102523772776762	0.15207670019356145	0.18613401009171437	0.875	0.7962257617728532
1	97530000	98510000	1	97530000	98510000	.	.	.	.	255,255,0	0.9282642728461267	0.15640877846437068	0.1664963590609036	0.4620408163265306	0.6465306122448979
1	208420000	209370000	1	208420000	209370000	.	.	.	.	255,255,0	0.876396544312122	0.17040658727525151	0.13094951923616835	0.6302083333333334	0.5374015748031497
1	72020000	72740000	1	72020000	72740000	.	.	.	.	255,255,0	0.8224071906017729	0.1517837358318112	0.14540220305413784	0.5285285285285285	0.5533033033033034
1	237060000	237740000	1	237060000	237740000	.	.	.	.	255,255,0	0.9957240781040264	0.14812280112457324	0.1407224923167592	0.4016806722689076	0.8042016806722689
1	233480000	234200000	1	233480000	234200000	.	.	.	.	255,255,0	1.4727967540982942	0.12202741953571805	0.15635690943062813	0.8903903903903904	0.6756756756756757
1	214830000	215700000	1	214830000	215700000	.	.	.	.	255,255,0	1.5298890787325146	0.13188867741189833	0.1397661539261127	0.7980371900826446	0.8517561983471075
1	36970000	37910000	1	36970000	37910000	.	.	.	.	255,255,0	1.64449907839697	0.12762432788253103	0.14087575587094808	0.8936170212765957	0.8515070921985816
1	198710000	199520000	1	198710000	199520000	.	.	.	.	255,255,0	1.3397313807233513	0.124286991693174	0.1330560694721361	0.800118976799524	0.7596668649613325
1	60430000	61360000	1	60430000	61360000	.	.	.	.	255,255,0	1.2698245329475162	0.12172828695559168	0.122224761636713	0.8967858759619738	0.5486645540968764
1	199630000	200490000	1	199630000	200490000	.	.	.	.	255,255,0	1.4686308079976313	0.1266377271049659	0.10852663522712219	0.7690274841437632	0.8609936575052854
1	59200000	60220000	1	59200000	60220000	.	.	.	.	255,255,0	1.7670442563642226	0.11421989782767317	0.1181160835200028	0.8800904977375565	0.9019607843137255
1	245300000	246160000	1	245300000	246160000	.	.	.	.	255,255,0	1.0388435721566256	0.10780694055714479	0.11737523094489091	0.8393234672304439	0.4571881606765328
1	6750000	7710000	1	6750000	7710000	.	.	.	.	255,255,0	1.782016070784335	0.10071398995590941	0.1085053931620496	0.9238945578231292	0.8941326530612245
